id,DateTime,Site,SiteNumber,Seconds,Latitude,Longitude,Hsig,Hmax,Tp,Tz,SST,Direction,Current Speed,Current Direction
1,2025-03-21 00:00:00,Caloundra,54,1742479200,-26.84682,153.15536,1.226,1.76,9.09,5.195,25.65,92.8,-99.9,-99.9
2,2025-03-21 00:30:00,Caloundra,54,1742481000,-26.84671,153.15536,1.145,2.09,8.33,5.263,25.6,95.6,-99.9,-99.9
3,2025-03-21 01:00:00,Caloundra,54,1742482800,-26.84677,153.15536,1.191,2.0,9.09,5.063,25.55,95.6,-99.9,-99.9
4,2025-03-21 01:30:00,Caloundra,54,1742484600,-26.84676,153.15534,1.103,1.97,9.09,5.333,25.55,85.8,-99.9,-99.9
5,2025-03-21 02:00:00,Caloundra,54,1742486400,-26.84658,153.1554,1.144,1.86,7.69,5.333,25.55,94.2,-99.9,-99.9
6,2025-03-21 02:30:00,Caloundra,54,1742488200,-26.84628,153.15564,1.135,1.91,8.33,5.333,25.55,90.0,-99.9,-99.9
7,2025-03-21 03:00:00,Caloundra,54,1742490000,-26.84623,153.15579,1.156,2.09,8.33,5.634,25.6,87.2,-99.9,-99.9
8,2025-03-21 03:30:00,Caloundra,54,1742491800,-26.84623,153.15585,1.091,1.88,8.33,5.556,25.65,90.0,-99.9,-99.9
9,2025-03-21 04:00:00,Caloundra,54,1742493600,-26.84624,153.15594,1.094,1.88,8.33,5.634,25.6,91.4,-99.9,-99.9
10,2025-03-21 04:30:00,Caloundra,54,1742495400,-26.84625,153.156,1.147,2.02,6.67,5.714,25.65,84.4,-99.9,-99.9
11,2025-03-21 05:00:00,Caloundra,54,1742497200,-26.84625,153.156,1.187,2.06,8.33,5.714,25.65,97.0,-99.9,-99.9
12,2025-03-21 05:30:00,Caloundra,54,1742499000,-26.84625,153.15602,1.118,2.4,7.14,5.797,25.65,88.6,-99.9,-99.9
13,2025-03-21 06:00:00,Caloundra,54,1742500800,-26.84624,153.156,1.034,2.07,7.69,5.882,25.55,87.2,-99.9,-99.9
14,2025-03-21 06:30:00,Caloundra,54,1742502600,-26.84623,153.15594,1.109,1.74,7.14,5.634,25.55,77.3,-99.9,-99.9
15,2025-03-21 07:00:00,Caloundra,54,1742504400,-26.84624,153.15594,1.008,1.76,7.69,5.797,25.55,92.8,-99.9,-99.9
16,2025-03-21 07:30:00,Caloundra,54,1742506200,-26.84625,153.15594,1.026,1.81,6.67,5.714,25.55,85.8,-99.9,-99.9
17,2025-03-21 08:00:00,Caloundra,54,1742508000,-26.84624,153.15592,0.977,1.78,7.69,5.882,25.55,90.0,-99.9,-99.9
18,2025-03-21 08:30:00,Caloundra,54,1742509800,-26.84625,153.15594,1.011,1.69,7.69,5.556,25.65,94.2,-99.9,-99.9
19,2025-03-21 09:00:00,Caloundra,54,1742511600,-26.84627,153.15592,0.985,1.63,8.33,5.714,25.7,90.0,-99.9,-99.9
20,2025-03-21 09:30:00,Caloundra,54,1742513400,-26.84625,153.15583,0.93,1.55,8.33,5.797,25.85,98.4,-99.9,-99.9
21,2025-03-21 10:00:00,Caloundra,54,1742515200,-26.84624,153.15566,0.967,1.69,8.33,5.556,25.85,90.0,-99.9,-99.9
22,2025-03-21 10:30:00,Caloundra,54,1742517000,-26.84627,153.15557,0.923,1.4,8.33,5.714,25.9,95.6,-99.9,-99.9
23,2025-03-21 11:00:00,Caloundra,54,1742518800,-26.84633,153.15549,0.962,1.61,8.33,5.634,26.0,91.4,-99.9,-99.9
24,2025-03-21 11:30:00,Caloundra,54,1742520600,-26.84636,153.15544,0.895,1.49,8.33,5.634,26.05,98.4,-99.9,-99.9
25,2025-03-21 12:00:00,Caloundra,54,1742522400,-26.84635,153.15547,0.951,1.57,8.33,5.333,26.0,101.3,-99.9,-99.9
26,2025-03-21 12:30:00,Caloundra,54,1742524200,-26.84629,153.15559,0.924,1.61,8.33,5.333,25.95,97.0,-99.9,-99.9
